Playlist Id,Name,Times Played,Owner Id
0,Beat It,44014,746
1,In the Year 2525 (Exordium & Terminus),112419,821
2,Like a Prayer,198051,725
3,Hey There Delilah,129405,417
4,The End of the World,104335,724
5,Get Down Tonight,117276,780
6,Rock the Boat,247648,70
7,Don't Speak,202285,683
8,Crazy Little Thing Called Love,196480,525
9,Help!,3652,818
10,Don't You Want Me,299972,480
11,Tha Crossroads,47876,497
12,Only You (And You Alone),45397,555
13,Don't Stop 'Til You Get Enough,149142,214
14,Shop Around,18107,338
15,I Got You (I Feel Good),189761,776
16,Sledgehammer,96245,52
17,One Sweet Day,128043,791
18,Boom Boom Pow,65246,657
19,Goodbye Yellow Brick Road,236079,408
20,I Can't Get Started,81953,760
21,My Blue Heaven,188015,783
22,Tie a Yellow Ribbon 'round the Old Oak Tree,250068,196
23,Footloose,47056,363
24,Rags to Riches,140334,864
25,All Out of Love,64116,438
26,Mood Indigo,295285,559
27,Twist & Shout,197948,368
28,Get Down Tonight,215667,887
29,Thrift Shop,32142,399
30,Piano Man,179353,693
31,Rich Girl,217578,848
32,Tighten Up,267202,622
33,Can't Help Falling in Love,218830,374
34,Some Enchanted Evening,59270,416
35,Walk On the Wild Side,131621,760
36,We Are Young,238690,895
37,Silly Love Songs,43975,713
38,Crying,20018,485
39,The End of the World,53156,406
40,Yakety Yak,280726,853
41,One of These Nights,95341,380
42,American Woman,8710,477
43,No Scrubs,14314,390
44,The Boy is Mine,145883,355
45,Rapture,203119,751
46,Moonlight Serenade,230487,847
47,My Blue Heaven,158188,40
48,Heartbreak Hotel,173874,887
49,I Went to Your Wedding,129718,709
50,Some of These Days,135802,219
51,If You Leave Me Now,270801,414
52,What's Going On?,153607,709
53,My Life,236606,706
54,Ring My Bell,79707,433
55,Every Little Thing She Does is Magic,15575,762
56,Return to Sender,132109,495
57,Rapture,247611,969
58,Footloose,137857,259
59,Roll With It,260020,770
60,The Tracks of My Tears,39866,373
61,Straight Up,140747,267
62,My Blue Heaven,279849,897
63,Wake Up Little Susie,23180,501
64,Moonlight Serenade,180660,839
65,Feel Like Making Love,95341,861
66,Change the World,64816,808
67,Need You Tonight,265590,111
68,You'll Never Know,229756,690
69,(Sexual) Healing,242398,550
70,I'm Walking Behind You,274144,708
71,Aquarius/Let The Sunshine In,90874,628
72,Stuck On You,131024,22
73,Kansas City,201649,255
74,Hang On Sloopy,297359,991
75,Sleep Walk,259059,354
76,(Sexual) Healing,124025,980
77,We Built This City,220169,885
78,I Still Haven't Found What I'm Looking For,61308,424
79,My Love,267669,984
80,Roll With It,92689,807
81,Like a Rolling Stone,268632,399
82,Down,270241,804
83,Karma Chameleon,113390,648
84,She Drives Me Crazy,48031,661
85,Love Child,117364,626
86,My Eyes Adored You,298473,357
87,Best of My Love,45663,977
